date,tic,close,high,low
2023-12-14,VZ,31.627731,31.7196,31.051468
2023-12-14,WMT,49.451275,50.026479,49.373283
2023-12-15,AAPL,195.19032,196.01031,194.62718
2023-12-15,AMGN,255.2332,258.77281,253.26877
2023-12-15,CRM,257.15118,257.8491,250.18175
2023-12-15,CSCO,46.40707,46.462905,45.997625
2023-12-15,IBM,149.57944,151.2944,149.40425
2023-12-15,INTC,45.549957,46.645288,45.066431
2023-12-15,MSFT,363.66422,365.30237,359.29902
2023-12-15,NKE,114.95881,115.44115,114.06032
2023-12-15,VZ,31.210138,31.594317,31.018051
2023-12-15,WMT,49.636509,49.870488,49.246539
2023-12-18,AAPL,193.53055,194.26164,192.04862
2023-12-18,AMGN,255.26105,256.76214,254.21398
2023-12-18,CRM,259.10733,261.07332,255.26382
2023-12-18,CSCO,46.751373,46.807205,45.969702
2023-12-18,IBM,150.04968,150.59367,148.98014
2023-12-18,INTC,45.08617,45.619035,44.800006
2023-12-18,MSFT,365.54758,365.89091,361.65324
2023-12-18,NKE,114.57105,115.23309,114.30624
2023-12-18,VZ,31.460691,31.569264,31.126627
2023-12-18,WMT,50.361198,50.393695,49.763245
2023-12-19,AAPL,194.56792,194.57779,193.53056
2023-12-19,AMGN,258.00378,259.97746,256.28956
2023-12-19,CRM,259.84451,262.04641,259.25471
2023-12-19,CSCO,46.695538,46.956093,46.379147
2023-12-19,IBM,148.96169,149.62554,148.74041
2023-12-19,INTC,46.04335,46.063086,44.908547
2023-12-19,MSFT,366.14594,366.14594,362.7911
2023-12-19,NKE,115.98972,116.65175,115.04394
2023-12-19,VZ,31.377172,31.519152,31.310361
2023-12-19,WMT,50.54319,50.595186,50.075228
2023-12-20,AAPL,192.48331,195.29897,192.48331
2023-12-20,AMGN,254.98302,258.33732,254.82551
2023-12-20,CRM,255.82413,260.41472,255.65701
2023-12-20,CSCO,46.34193,46.83513,46.332626
2023-12-20,IBM,147.56943,149.18296,147.53254
2023-12-20,INTC,45.155239,46.329515,45.096034
2023-12-20,MSFT,363.55624,368.86314,363.46796
2023-12-20,NKE,114.84532,116.69904,114.43864
2023-12-20,VZ,31.151682,31.510803,31.134978
2023-12-20,WMT,49.951736,50.741421,49.92249
2023-12-21,AAPL,192.33511,194.70622,191.16933
2023-12-21,AMGN,258.8284,259.28246,256.11346
2023-12-21,CRM,262.70508,263.79619,259.74626
2023-12-21,CSCO,46.248878,46.509434,45.951099
2023-12-21,IBM,148.24249,148.5191,147.08997
2023-12-21,INTC,46.457802,46.49727,45.411809
2023-12-21,MSFT,366.42062,367.27404,362.98733
2023-12-21,NKE,115.88566,116.61391,114.72236
2023-12-21,VZ,31.260254,31.360473,31.076516
2023-12-21,WMT,50.305954,50.39045,50.016729
2023-12-22,AAPL,191.26814,193.05634,190.64573
2023-12-22,AMGN,263.30392,264.71235,259.44925
2023-12-22,CRM,261.81052,263.58973,260.78819
2023-12-22,CSCO,46.611797,46.890965,46.379157
2023-12-22,IBM,149.49644,149.74539,148.44534
2023-12-22,INTC,47.365639,47.523524,46.576212
2023-12-22,MSFT,367.4408,368.02937,365.60644
2023-12-22,NKE,102.18141,104.79175,101.6234
2023-12-22,VZ,31.310368,31.552563,31.235203
2023-12-22,WMT,50.907158,51.069642,50.422948
2023-12-26,AAPL,190.72476,191.55464,190.50741
2023-12-26,AMGN,263.06302,263.82284,260.99671
2023-12-26,CRM,261.69263,261.99735,260.11983
2023-12-26,CSCO,46.788597,46.900267,46.574569
2023-12-26,IBM,150.48302,150.57521,149.41347
2023-12-26,INTC,49.832603,49.85234,48.066259
2023-12-26,MSFT,367.51929,369.75583,366.38139
2023-12-26,NKE,102.1625,102.79617,101.65179
2023-12-26,VZ,31.302008,31.435634,31.160031
2023-12-26,WMT,50.829166,51.017654,50.731676
2023-12-27,AAPL,190.82356,191.16935,188.78838
2023-12-27,AMGN,265.5,266.20423,262.5534
2023-12-27,CRM,262.18411,262.46919,260.88655
2023-12-27,CSCO,46.937489,47.049158,46.788599
2023-12-27,IBM,150.71356,150.87952,149.99437
2023-12-27,INTC,50.089165,50.602293,49.526698
2023-12-27,MSFT,366.94052,367.91164,365.70453
2023-12-27,NKE,101.32076,102.70159,101.05595
2023-12-27,VZ,31.160036,31.285309,31.068167
2023-12-27,WMT,51.306873,51.329623,50.747918
2023-12-28,AAPL,191.24837,192.31536,190.8433
2023-12-28,AMGN,267.28836,267.82581,266.51929
2023-12-28,CRM,261.06348,262.38071,260.78824
2023-12-28,CSCO,46.974716,47.114302,46.918881
2023-12-28,IBM,150.98091,151.17454,150.6582
2023-12-28,INTC,49.724052,50.197708,49.497093
2023-12-28,MSFT,368.12747,369.28497,367.02882
2023-12-28,NKE,102.91911,103.46766,101.0181
2023-12-28,VZ,31.310368,31.502455,31.026411
2023-12-28,WMT,51.206135,51.453116,51.183385
2023-12-29,AAPL,190.211,192.05847,189.42063
2023-12-29,AMGN,266.88065,267.31615,265.3703
2023-12-29,CRM,258.66501,261.1323,258.18332
2023-12-29,CSCO,47.011932,47.077071,46.732765
2023-12-29,IBM,150.79649,151.37736,150.13264
2023-12-29,INTC,49.585903,49.901674,49.112247
2023-12-29,MSFT,368.87302,369.97167,366.36181
2023-12-29,NKE,102.68268,103.9973,102.2287
2023-12-29,VZ,31.485748,31.535856,31.168384
2023-12-29,WMT,51.232132,51.371871,51.072894
2024-01-02,AAPL,183.40399,186.17027,181.67507
2024-01-02,AMGN,275.56299,278.5837,266.195
2024-01-02,CRM,251.77419,256.12884,249.45432
2024-01-02,CSCO,47.002632,47.328331,46.760688
2024-01-02,IBM,148.90636,150.55677,147.94746
2024-01-02,INTC,47.168278,48.727398,46.822905
2024-01-02,MSFT,363.80145,368.73558,359.77959
2024-01-02,NKE,100.77219,102.0017,100.67761
2024-01-02,VZ,32.471252,32.546418,31.469053
2024-01-02,WMT,51.765095,51.846337,51.082649
2024-01-03,AAPL,182.03078,183.64115,181.22065
2024-01-03,AMGN,278.6207,280.9928,275.24784
2024-01-03,CRM,247.55713,249.83768,247.48833
2024-01-03,CSCO,47.368374,47.527802,46.833827
2024-01-03,IBM,147.61554,149.11842,147.5971
2024-01-03,INTC,46.428196,47.178154,46.1815
2024-01-03,MSFT,363.53668,366.14599,361.48652
2024-01-03,NKE,98.398315,101.65178,98.360484
2024-01-03,VZ,32.70509,33.172784,32.680036
2024-01-03,WMT,51.768345,52.093321,51.648105
2024-01-04,AAPL,179.71893,180.88471,178.70134
2024-01-04,AMGN,280.91867,282.69774,276.67481
2024-01-04,CRM,246.96735,248.34353,245.59115
2024-01-04,CSCO,46.965118,47.36837,46.880716
2024-01-04,IBM,148.31627,149.19219,147.68007
2024-01-04,INTC,46.250572,46.536741,44.642117
2024-01-04,MSFT,360.92737,365.98903,360.17205
2024-01-04,NKE,96.75267,98.001092,96.75267
2024-01-04,VZ,32.880478,33.281357,32.872128
2024-01-04,WMT,51.267879,51.846334,51.180136
2024-01-05,AAPL,178.99773,180.5587,177.9999
2024-01-05,AMGN,280.76117,281.25227,277.75898
2024-01-05,CRM,246.84937,249.59193,245.91552
2024-01-05,CSCO,46.974499,47.237082,46.768181
2024-01-05,IBM,146.74883,148.03043,146.29703
2024-01-05,INTC,46.270309,47.197889,46.023613
2024-01-05,MSFT,360.74097,364.96882,359.51479
2024-01-05,NKE,96.544601,98.057838,96.374362
2024-01-05,VZ,33.573662,33.715638,32.822011
2024-01-05,WMT,50.926659,51.378372,50.565939
2024-01-08,AAPL,183.32497,183.36449,179.31387
2024-01-08,AMGN,288.06284,288.22034,278.30569
2024-01-08,CRM,256.43359,257.11186,247.11482
2024-01-08,CSCO,47.321484,47.358997,46.599376
2024-01-08,IBM,148.57445,148.64821,145.57788
2024-01-08,INTC,47.809692,48.115593,46.349252
2024-01-08,MSFT,367.54871,368.049,361.97697
2024-01-08,NKE,98.001099,98.067303,96.213586
2024-01-08,VZ,33.490139,33.623765,32.972337
2024-01-08,WMT,51.427116,51.440114,50.916906
2024-01-09,AAPL,182.91003,182.91991,180.52906
2024-01-09,AMGN,284.7085,287.21959,283.48537
2024-01-09,CRM,256.89557,259.44152,254.37911
2024-01-09,CSCO,46.805695,46.92761,46.35555
2024-01-09,IBM,147.59708,147.96588,147.07152
2024-01-09,INTC,47.414978,47.91824,47.168282
2024-01-09,MSFT,368.62775,368.82392,364.11541
2024-01-09,NKE,97.1688,97.793015,96.941817
2024-01-09,VZ,33.15469,33.333031,32.925392
2024-01-09,WMT,51.771591,51.781342,51.258134
2024-01-10,AAPL,183.94739,184.15485,181.70473
2024-01-10,AMGN,282.21591,285.06059,281.93791
2024-01-10,CRM,259.63815,261.92852,258.28162
2024-01-10,CSCO,47.115166,47.190188,46.721287
2024-01-10,IBM,148.65741,148.75883,147.28361
2024-01-10,INTC,46.842644,47.661673,46.319646
2024-01-10,MSFT,375.4747,376.84804,369.14765
2024-01-10,NKE,98.14296,98.199711,96.818882
2024-01-10,VZ,33.188667,33.205649,32.831981
2024-01-10,WMT,52.415031,52.483276,51.852829
2024-01-11,AAPL,183.35461,184.79704,181.40834
2024-01-11,AMGN,280.85379,282.25294,277.98131
2024-01-11,CRM,266.76483,268.31795,260.59163
2024-01-11,CSCO,47.302723,47.358992,46.927604
2024-01-11,IBM,149.51489,149.57943,147.7907
2024-01-11,INTC,47.010399,47.207756,46.112425
2024-01-11,MSFT,377.29929,383.23397,373.13029
2024-01-11,NKE,100.15746,100.26149,98.105128
2024-01-11,VZ,32.186546,33.146196,31.897801
2024-01-11,WMT,52.356548,52.610026,52.051071
2024-01-12,AAPL,183.68065,184.49078,182.95945
2024-01-12,AMGN,284.01352,284.42123,281.13176
2024-01-12,CRM,267.30548,270.55919,266.45028
2024-01-12,CSCO,47.208946,47.659091,47.171433
2024-01-12,IBM,152.87103,153.03699,149.69006
2024-01-12,INTC,46.497265,47.039995,45.994007
2024-01-12,MSFT,381.0661,381.27209,377.3189
2024-01-12,NKE,99.362999,100.55468,99.041439
2024-01-12,VZ,32.747055,32.925397,32.415845
2024-01-12,WMT,52.424782,52.496276,52.119304
2024-01-16,AAPL,181.41824,182.04065,178.75075
2024-01-16,AMGN,281.20596,285.39421,279.07476
2024-01-16,CRM,264.61209,266.95162,263.16709
2024-01-16,CSCO,47.443394,47.443394,46.955736
2024-01-16,IBM,153.94057,154.20795,152.44688
2024-01-16,INTC,46.438061,46.595946,45.767047
2024-01-16,MSFT,382.83182,386.52017,380.23233
2024-01-16,NKE,96.204124,98.568559,95.863645
2024-01-16,VZ,33.367001,33.417953,32.568704
2024-01-16,WMT,52.590523,52.775757,52.395538
2024-01-17,AAPL,180.47968,180.72666,178.12835
2024-01-17,AMGN,281.7619,282.27155,279.00064
2024-01-17,CRM,266.82382,267.27599,259.63814
2024-01-17,CSCO,47.171432,47.293348,46.80569
2024-01-17,IBM,153.12921,154.73353,152.59444
2024-01-17,INTC,45.451279,45.806518,45.046697
2024-01-17,MSFT,382.04703,382.67481,377.47584
2024-01-17,NKE,95.352928,95.816355,94.804378
2024-01-17,VZ,33.010319,33.4859,32.840468
2024-01-17,WMT,52.343544,52.642521,52.200555
2024-01-18,AAPL,186.358,186.86185,183.59172
2024-01-18,AMGN,282.14182,283.21668,277.56439
2024-01-18,CRM,269.79248,271.00157,267.51196
2024-01-18,CSCO,47.593441,47.64033,47.152673
2024-01-18,IBM,153.82996,153.96827,152.17032
2024-01-18,INTC,46.122295,46.941324,45.559825
2024-01-18,MSFT,386.36313,386.48084,382.6846
2024-01-18,NKE,95.466423,95.92985,94.643597
2024-01-18,VZ,33.069767,33.129214,32.662128
2024-01-18,WMT,53.048737,53.097482,52.216804
2024-01-19,AAPL,189.25272,189.63802,186.54573
2024-01-19,AMGN,285.21811,286.40416,279.00985
2024-01-19,CRM,276.10324,277.20419,270.84422
2024-01-19,CSCO,48.081093,48.193628,47.574679
2024-01-19,IBM,158.10814,158.20035,155.98749
2024-01-19,INTC,47.513657,48.115592,45.826253
2024-01-19,MSFT,391.07166,391.07166,386.00018
2024-01-19,NKE,96.260849,96.63916,94.265266
2024-01-19,VZ,33.400978,33.485902,32.857456
2024-01-19,WMT,52.769253,53.155972,52.463775
2024-01-22,AAPL,191.55464,192.9773,189.94427
2024-01-22,AMGN,287.39563,289.24884,284.09692
2024-01-22,CRM,275.53314,280.86098,275.40538
2024-01-22,CSCO,48.362446,48.559383,48.212398
2024-01-22,IBM,159.35283,160.8465,158.95635
2024-01-22,INTC,47.582733,48.520175,47.010397
2024-01-22,MSFT,388.95285,392.9845,386.08849
2024-01-22,NKE,95.107018,96.289235,94.662503
2024-01-22,VZ,33.613289,33.732183,33.383991
2024-01-22,WMT,52.772507,52.95449,52.483278
2024-01-23,AAPL,192.82912,193.39226,191.49539
2024-01-23,AMGN,287.164,288.45197,286.41345
2024-01-23,CRM,272.06311,276.9191,271.02114
2024-01-23,CSCO,48.540627,48.596896,48.109238
2024-01-23,IBM,160.3763,160.45006,159.03014
2024-01-23,INTC,48.243877,48.293216,46.694627
2024-01-23,MSFT,391.29727,391.76813,386.42199
2024-01-23,NKE,96.374352,96.601335,95.740685
2024-01-23,VZ,35.863796,35.880782,34.471028
2024-01-23,WMT,52.905746,52.921995,52.571023
2024-01-24,AAPL,192.1573,194.01466,191.99923
2024-01-24,AMGN,283.07773,289.51764,282.8368
2024-01-24,CRM,272.17126,276.18187,271.98449
2024-01-24,CSCO,48.118618,48.7657,48.024836
2024-01-24,IBM,160.36707,161.22455,159.41739
2024-01-24,INTC,48.441231,49.112244,47.632068
2024-01-24,MSFT,394.88751,397.89901,392.81774
2024-01-24,NKE,95.296173,96.279779,95.229969
